		AUS	MAL	BHR	ESP	TUR	MON	CAN	FRA	GBR	GER	HUN	EUR	BEL	ITA	SIN	JPN	CHN	BRA	Points
 Hamilton	1	5	13	3	2	1	Ret	10	1	1	5	2	3	7	3	12	1	5	98
 Massa		Ret	Ret	1	2	1	3	5	1	13	3	17	1	1	6	13	7	2	1	97
 Raikkonen	8	1	2	1	3	9	Ret	2	4	6	3	Ret	18	9	15	3	3	3	75
 Kubica		Ret	2	3	4	4	2	1	5	Ret	7	8	3	6	3	11	2	6	11	75
 Alonso		4	8	10	Ret	6	10	Ret	8	6	11	4	Ret	4	4	1	1	4	2	61
 Heidfeld	2	6	4	9	5	14	2	13	2	4	10	9	2	5	6	9	5	10	60
 Kovalainen	5	3	5	Ret	12	8	9	4	5	5	1	4	10	2	10	Ret	Ret	7	53
 Vettel		Ret	Ret	Ret	Ret	17	5	8	12	Ret	8	Ret	6	5	1	5	6	9	4	35
 Trulli		Ret	4	6	8	10	13	6	3	7	9	7	5	16	13	Ret	5	Ret	8	31
 Glock		Ret	Ret	9	11	13	12	4	11	12	Ret	2	7	9	11	4	Ret	7	6	25
 Webber		Ret	7	7	5	7	4	12	6	10	Ret	9	12	8	8	Ret	8	14	9	21
 PiquetJ	Ret	11	Ret	Ret	15	Ret	Ret	7	Ret	2	6	11	Ret	10	Ret	4	8	Ret	19
 Rosberg	3	14	8	Ret	8	Ret	10	16	9	10	14	8	12	14	2	11	15	12	17
 Barrichello	DSQ	13	11	Ret	14	6	7	14	3	Ret	16	16	Ret	17	Ret	13	11	15	11
 Nakajima	6	17	14	7	Ret	7	Ret	15	8	14	13	15	14	12	8	15	12	17	9
 Coulthard	Ret	9	18	12	9	Ret	3	9	Ret	13	11	17	11	16	7	Ret	10	Ret	8
 Bourdais	7	Ret	15	Ret	Ret	Ret	13	17	11	12	18	10	7	18	12	10	13	14	4
 Button		Ret	10	Ret	6	11	11	11	Ret	Ret	17	12	13	15	15	9	14	16	13	3
 Fisichella	Ret	12	12	10	Ret	Ret	Ret	18	Ret	16	15	14	17	Ret	14	Ret	17	18	0
 Sutil		Ret	Ret	19	Ret	16	Ret	Ret	19	Ret	15	Ret	Ret	13	19	Ret	Ret	Ret	16	0
 Sato		Ret	16	17	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Davidson	Ret	15	16	Ret	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

